22 November 2018,Darüşşafaka Tekfen,88–93,88,93,Anadolu Efes,showIstanbul
22 November 2018,Olympiacos,88–83,88,83,Real Madrid,showPiraeus
22 November 2018,Maccabi FOX Tel Aviv,70–74,70,74,Fenerbahçe Beko,showTel Aviv
22 November 2018,Herbalife Gran Canaria,74–89,74,89,Bayern Munich,showLas Palmas
23 November 2018,Žalgiris,83–84,83,84,Khimki,showKaunas
23 November 2018,Kirolbet Baskonia,86–77,86,77,Panathinaikos OPAP,showVitoria-Gasteiz
23 November 2018,Budućnost VOLI,93–92,93,92,CSKA Moscow,showPodgorica
,,,,,,
23 November 2018,Barcelona Lassa,90–80,90,80,AX Armani Exchange Olimpia,showBarcelona
29 November 2018,Darüşşafaka Tekfen,71–75,71,75,Herbalife Gran Canaria,showIstanbul
29 November 2018,Žalgiris,83–78,83,78,AX Armani Exchange Olimpia,showKaunas
29 November 2018,Maccabi FOX Tel Aviv,95–71,95,71,Bayern Munich,showTel Aviv
29 November 2018,Real Madrid,88–93,88,93,CSKA Moscow,showMadrid
30 November 2018,Khimki,76–68,76,68,Panathinaikos OPAP,showMytishchi
30 November 2018,Anadolu Efes,96–85,96,85,Kirolbet Baskonia,showIstanbul
30 November 2018,Olympiacos,92–70,92,70,Budućnost VOLI,showPiraeus
,,,,,,
30 November 2018,Barcelona Lassa,65–84,65,84,Fenerbahçe Beko,showBarcelona
6 December 2018,Budućnost VOLI,67–64,67,64,Barcelona Lassa,showPodgorica
6 December 2018,Darüşşafaka Tekfen,71–73,71,73,Maccabi FOX Tel Aviv,showIstanbul
6 December 2018,Žalgiris,83–75,83,75,Olympiacos,showKaunas
6 December 2018,Bayern Munich,72–65,72,65,Khimki,showMunich
6 December 2018,AX Armani Exchange Olimpia,86–94,86,94,Herbalife Gran Canaria,showAssago
7 December 2018,Anadolu Efes,82–84,82,84,Real Madrid,showIstanbul
7 December 2018,Kirolbet Baskonia,76–73,76,73,CSKA Moscow,showVitoria-Gasteiz
,,,,,,
7 December 2018,Panathinaikos OPAP,69–81,69,81,Fenerbahçe Beko,showAthens
13 December 2018,Olympiacos,88–81,88,81,Anadolu Efes,showPiraeus
13 December 2018,CSKA Moscow,88–74,88,74,Khimki,showMoscow
13 December 2018,Fenerbahçe Beko,92–85,92,85,AX Armani Exchange Olimpia,showIstanbul
13 December 2018,Maccabi FOX Tel Aviv,79–81,79,81,Kirolbet Baskonia,showTel Aviv
13 December 2018,Real Madrid,92–65,92,65,Barcelona Lassa,showMadrid
14 December 2018,Bayern Munich,88–84,88,84,Žalgiris,showMunich
14 December 2018,Panathinaikos OPAP,75–67,75,67,Darüşşafaka Tekfen,showAthens
,,,,,,
14 December 2018,Herbalife Gran Canaria,95–85,95,85,Budućnost VOLI,showLas Palmas
18 December 2018,Anadolu Efes,106–68,106,68,Budućnost VOLI,showIstanbul
18 December 2018,Fenerbahçe Beko,79–75,79,75,CSKA Moscow,showIstanbul
18 December 2018,Barcelona Lassa,60–69,60,69,Olympiacos,showBarcelona
18 December 2018,Herbalife Gran Canaria,71–84,71,84,Kirolbet Baskonia,showLas Palmas
19 December 2018,Darüşşafaka Tekfen,71–75,71,75,Žalgiris,showIstanbul
19 December 2018,Maccabi FOX Tel Aviv,79–63,79,63,Khimki,showTel Aviv
19 December 2018,AX Armani Exchange Olimpia,78–80,78,80,Bayern Munich,showAssago
,,,,,,
19 December 2018,Real Madrid,89–68,89,68,Panathinaikos OPAP,showMadrid
20 December 2018,CSKA Moscow,102–84,102,84,Anadolu Efes,showMoscow
20 December 2018,Budućnost VOLI,65–89,65,89,Fenerbahçe Beko,showPodgorica
20 December 2018,Olympiacos,98–77,98,77,Herbalife Gran Canaria,showPiraeus
20 December 2018,Kirolbet Baskonia,70–77,70,77,Barcelona Lassa,showVitoria-Gasteiz
21 December 2018,Khimki,85–84,85,84,Darüşşafaka Tekfen,showMytishchi
21 December 2018,Žalgiris,80–73,80,73,Maccabi FOX Tel Aviv,showKaunas
21 December 2018,Panathinaikos OPAP,83–86,83,86,AX Armani Exchange Olimpia,showAthens
,,,,,,
21 December 2018,Bayern Munich,72–82,72,82,Real Madrid,showMunich
27 December 2018,Khimki,77–85,77,85,Kirolbet Baskonia,showMytishchi
27 December 2018,Darüşşafaka Tekfen,79–75,79,75,Olympiacos,showIstanbul
27 December 2018,Maccabi FOX Tel Aviv,94–92,94,92,AX Armani Exchange Olimpia,showTel Aviv
27 December 2018,Barcelona Lassa,80–65,80,65,Anadolu Efes,showBarcelona
28 December 2018,Fenerbahçe Beko,65–63,65,63,Real Madrid,showIstanbul
28 December 2018,Panathinaikos OPAP,96–84,96,84,CSKA Moscow,showAthens
28 December 2018,Bayern Munich,93–88,93,88,Budućnost VOLI,showMunich
,,,,,,
28 December 2018,Herbalife Gran Canaria,73–66,73,66,Žalgiris,showLas Palmas
3 January 2019,Anadolu Efes,92–77,92,77,Bayern Munich,showIstanbul
3 January 2019,Real Madrid,91–79,91,79,Maccabi FOX Tel Aviv,showMadrid
3 January 2019,AX Armani Exchange Olimpia,111–94,111,94,Budućnost VOLI,showAssago
3 January 2019,Herbalife Gran Canaria,70–99,70,99,Khimki,showLas Palmas
4 January 2019,Fenerbahçe Beko,96–87,96,87,Kirolbet Baskonia,showIstanbul
4 January 2019,Žalgiris,79–84,79,84,CSKA Moscow,showKaunas
4 January 2019,Olympiacos,79–65,79,65,Panathinaikos OPAP,showPiraeus
,,,,,,
4 January 2019,Barcelona Lassa,97–65,97,65,Darüşşafaka Tekfen,showBarcelona
8 January 2019,Khimki,84–78(OT),84,78,Fenerbahçe Beko,showMytishchi
8 January 2019,Žalgiris,58–79,58,79,Anadolu Efes,showKaunas
8 January 2019,Olympiacos,91–87(OT),91,87,Kirolbet Baskonia,showPiraeus
8 January 2019,Herbalife Gran Canaria,67–75,67,75,Real Madrid,showLas Palmas
9 January 2019,Darüşşafaka Tekfen,65–80,65,80,CSKA Moscow,showIstanbul
9 January 2019,Panathinaikos OPAP,77–67,77,67,Bayern Munich,showAthens
9 January 2019,Maccabi FOX Tel Aviv,81–76,81,76,Budućnost VOLI,showTel Aviv
,,,,,,
9 January 2019,AX Armani Exchange Olimpia,85–90,85,90,Barcelona Lassa,showAssago
10 January 2019,Anadolu Efes,81–72,81,72,Khimki,showIstanbul
10 January 2019,Fenerbahçe Beko,78–61,78,61,Žalgiris,showIstanbul
10 January 2019,Real Madrid,94–78,94,78,Olympiacos,showMadrid
11 January 2019,CSKA Moscow,76–93,76,93,Maccabi FOX Tel Aviv,showMoscow
11 January 2019,Budućnost VOLI,75–74,75,74,Darüşşafaka Tekfen,showPodgorica
11 January 2019,Kirolbet Baskonia,83–66,83,66,Herbalife Gran Canaria,showVitoria-Gasteiz
11 January 2019,Bayern Munich,93–87,93,87,AX Armani Exchange Olimpia,showMunich
,,,,,,
11 January 2019,Barcelona Lassa,79–68,79,68,Panathinaikos OPAP,showBarcelona
17 January 2019,CSKA Moscow,77–70,77,70,Bayern Munich,showMoscow
17 January 2019,Olympiacos,71–57,71,57,Khimki,showPiraeus
17 January 2019,Maccabi FOX Tel Aviv,99–83,99,83,Barcelona Lassa,showTel Aviv
17 January 2019,Herbalife Gran Canaria,64–82,64,82,Fenerbahçe Beko,showLas Palmas
18 January 2019,Anadolu Efes,82–68,82,68,Darüşşafaka Tekfen,showIstanbul
18 January 2019,Budućnost VOLI,73–60,73,60,Real Madrid,showPodgorica
18 January 2019,Žalgiris,82–69,82,69,Panathinaikos OPAP,showKaunas
,,,,,,
18 January 2019,Kirolbet Baskonia,80–75,80,75,AX Armani Exchange Olimpia,showVitoria-Gasteiz
24 January 2019,Fenerbahçe Beko,90–75,90,75,Olympiacos,showIstanbul
24 January 2019,Maccabi FOX Tel Aviv,84–75,84,75,Panathinaikos OPAP,showTel Aviv
24 January 2019,AX Armani Exchange Olimpia,80–70,80,70,Žalgiris,showAssago
24 January 2019,Real Madrid,92–84,92,84,Anadolu Efes,showMadrid
25 January 2019,Khimki,60–71,60,71,Bayern Munich,showMytishchi
25 January 2019,Darüşşafaka Tekfen,80–75,80,75,Kirolbet Baskonia,showIstanbul
25 January 2019,Budućnost VOLI,75–70,75,70,Herbalife Gran Canaria,showPodgorica
,,,,,,
25 January 2019,Barcelona Lassa,76–84,76,84,CSKA Moscow,showBarcelona
31 January 2019,Khimki,74–64,74,64,Žalgiris,showMytishchi
31 January 2019,Olympiacos,55–76,55,76,Barcelona Lassa,showPiraeus
31 January 2019,Bayern Munich,90–86(OT),90,86,Fenerbahçe Beko,showMunich
31 January 2019,Kirolbet Baskonia,97–73,97,73,Maccabi FOX Tel Aviv,showVitoria-Gasteiz
1 February 2019,CSKA Moscow,99–69,99,69,Budućnost VOLI,showMoscow
1 February 2019,Darüşşafaka Tekfen,82–86,82,86,Real Madrid,showIstanbul
1 February 2019,Panathinaikos OPAP,88–75,88,75,Anadolu Efes,showAthens
,,,,,,
1 February 2019,Herbalife Gran Canaria,104–106(OT),104,106,AX Armani Exchange Olimpia,showLas Palmas
7 February 2019,Anadolu Efes,93–74,93,74,Herbalife Gran Canaria,showIstanbul
7 February 2019,Budućnost VOLI,90–98,90,98,Khimki,showPodgorica
7 February 2019,Maccabi FOX Tel Aviv,65–64,65,64,Olympiacos,showTel Aviv
7 February 2019,Barcelona Lassa,78–72,78,72,Žalgiris,showBarcelona
8 February 2019,CSKA Moscow,82–78,82,78,Real Madrid,showMoscow
8 February 2019,Fenerbahçe Beko,85–66,85,66,Panathinaikos OPAP,showIstanbul
8 February 2019,Kirolbet Baskonia,76–68,76,68,Bayern Munich,showVitoria-Gasteiz
,,,,,,
8 February 2019,AX Armani Exchange Olimpia,90–78,90,78,Darüşşafaka Tekfen,showAssago
21 February 2019,CSKA Moscow,107–85,107,85,Herbalife Gran Canaria,showMoscow
21 February 2019,Anadolu Efes,75–65,75,65,Olympiacos,showIstanbul
21 February 2019,AX Armani Exchange Olimpia,87–83,87,83,Maccabi FOX Tel Aviv,showAssago
21 February 2019,Barcelona Lassa,77–67,77,67,Kirolbet Baskonia,showBarcelona
22 February 2019,Darüşşafaka Tekfen,75–97,75,97,Fenerbahçe Beko,showIstanbul
22 February 2019,Žalgiris,84–76,84,76,Budućnost VOLI,showKaunas
22 February 2019,Panathinaikos OPAP,94–85,94,85,Khimki,showAthens
,,,,,,
22 February 2019,Real Madrid,91–78,91,78,Bayern Munich,showMadrid
28 February 2019,Khimki,88–90,88,90,AX Armani Exchange Olimpia,showMytishchi
28 February 2019,Fenerbahçe Beko,84–66,84,66,Anadolu Efes,showIstanbul
28 February 2019,Maccabi FOX Tel Aviv,77–58,77,58,Darüşşafaka Tekfen,showTel Aviv
28 February 2019,Kirolbet Baskonia,80–73,80,73,Žalgiris,showVitoria-Gasteiz
28 February 2019,Herbalife Gran Canaria,80–99,80,99,Panathinaikos OPAP,showLas Palmas
1 March 2019,Budućnost VOLI,75–89,75,89,Bayern Munich,showPodgorica
1 March 2019,Olympiacos,81–97,81,97,CSKA Moscow,showPiraeus
,,,,,,
1 March 2019,Barcelona Lassa,77–70,77,70,Real Madrid,showBarcelona
7 March 2019,Darüşşafaka Tekfen,67–91,67,91,Panathinaikos OPAP,showIstanbul
7 March 2019,Žalgiris,98–64,98,64,Herbalife Gran Canaria,showKaunas
7 March 2019,Bayern Munich,70–77,70,77,Maccabi FOX Tel Aviv,showMunich
7 March 2019,Real Madrid,101–86,101,86,Fenerbahçe Beko,showMadrid
8 March 2019,CSKA Moscow,101–95,101,95,AX Armani Exchange Olimpia,showMoscow
8 March 2019,Anadolu Efes,92–70,92,70,Barcelona Lassa,showIstanbul
8 March 2019,Budućnost VOLI,76–89,76,89,Olympiacos,showPodgorica
,,,,,,
8 March 2019,Kirolbet Baskonia,104–86,104,86,Khimki,showVitoria-Gasteiz
14 March 2019,Khimki,75–100,75,100,Real Madrid,showMytishchi
14 March 2019,Žalgiris,85–79,85,79,Bayern Munich,showKaunas
14 March 2019,Maccabi FOX Tel Aviv,71–79,71,79,Anadolu Efes,showTel Aviv
14 March 2019,AX Armani Exchange Olimpia,66–57,66,57,Olympiacos,showAssago
14 March 2019,Herbalife Gran Canaria,84–64,84,64,Darüşşafaka Tekfen,showLas Palmas
15 March 2019,CSKA Moscow,77–78,77,78,Panathinaikos OPAP,showMoscow
15 March 2019,Fenerbahçe Beko,88–82,88,82,Barcelona Lassa,showIstanbul
,,,,,,
15 March 2019,Kirolbet Baskonia,82–62,82,62,Budućnost VOLI,showVitoria-Gasteiz
19 March 2019,Anadolu Efes,78–80,78,80,CSKA Moscow,showIstanbul
19 March 2019,Fenerbahçe Beko,76–67,76,67,Budućnost VOLI,showIstanbul
19 March 2019,Olympiacos,89–69,89,69,Bayern Munich,showPiraeus
19 March 2019,Barcelona Lassa,93–64,93,64,Herbalife Gran Canaria,showBarcelona
20 March 2019,Darüşşafaka Tekfen,91–85,91,85,Khimki,showIstanbul
20 March 2019,Panathinaikos OPAP,72–70,72,70,Kirolbet Baskonia,showAthens
20 March 2019,Maccabi FOX Tel Aviv,83–85,83,85,Žalgiris,showTel Aviv
,,,,,,
20 March 2019,Real Madrid,92–89,92,89,AX Armani Exchange Olimpia,showMadrid
21 March 2019,CSKA Moscow,70–68,70,68,Fenerbahçe Beko,showMoscow
21 March 2019,Budućnost VOLI,84–91,84,91,Anadolu Efes,showPodgorica
21 March 2019,Bayern Munich,73–71,73,71,Barcelona Lassa,showMunich
21 March 2019,Herbalife Gran Canaria,90–67,90,67,Olympiacos,showLas Palmas
22 March 2019,Khimki,71–76,71,76,Maccabi FOX Tel Aviv,showMytishchi
22 March 2019,Žalgiris,94–67,94,67,Darüşşafaka Tekfen,showKaunas
22 March 2019,Kirolbet Baskonia,86–76,86,76,Real Madrid,showVitoria-Gasteiz
,,,,,,
22 March 2019,AX Armani Exchange Olimpia,83–95,83,95,Panathinaikos OPAP,showDesio
28 March 2019,Panathinaikos OPAP,73–74,73,74,Real Madrid,showAthens
28 March 2019,Maccabi FOX Tel Aviv,90–55,90,55,Herbalife Gran Canaria,showTel Aviv
28 March 2019,AX Armani Exchange Olimpia,90–104,90,104,Fenerbahçe Beko,showAssago
28 March 2019,Barcelona Lassa,95–83,95,83,Budućnost VOLI,showBarcelona
29 March 2019,Khimki,72–80,72,80,CSKA Moscow,showMytishchi
29 March 2019,Darüşşafaka Tekfen,92–87,92,87,Bayern Munich,showIstanbul
29 March 2019,Kirolbet Baskonia,92–102,92,102,Anadolu Efes,showVitoria-Gasteiz
,,,,,,
29 March 2019,Olympiacos,68–72,68,72,Žalgiris,showPiraeus
4 April 2019,CSKA Moscow,82–78,82,78,Kirolbet Baskonia,showMoscow
4 April 2019,Anadolu Efes,101–95,101,95,AX Armani Exchange Olimpia,showIstanbul
4 April 2019,Panathinaikos OPAP,87–67,87,67,Budućnost VOLI,showAthens
4 April 2019,Real Madrid,86–93,86,93,Žalgiris,showMadrid
5 April 2019,Fenerbahçe Beko,78–75,78,75,Maccabi FOX Tel Aviv,showIstanbul
5 April 2019,Bayern Munich,84–77,84,77,Herbalife Gran Canaria,showMunich
5 April 2019,Olympiacos,99–74,99,74,Darüşşafaka Tekfen,showPiraeus
5 April 2019,Barcelona Lassa,83–74,83,74,Khimki,showBarcelona
